ulasan,rating
"lahh ini gimana ceritanya di HP gua gak bisa di buka lagi, perangkat tidak didukung padahal bulan kemaren masih bisa di buka",1
"ini aplikasi makin ke sini makin ngga jelas,di suruh setting pin begitu sudah di seting eror",1
Sudah 2 tahun laporan tiang listrik dihalaman rumah mau roboh tidak ada tindakan sama sekali.. mungkin pejabatnya tidur..skrang saya pake pln mobile sudah tidak bisa dikarenakan laporan seperti ini.. hebatnya negara ini,1
narik DANA refund ke Rekening BANK udh seharian kaga masuk² LAMA KERJA KALEAN WOIII NOMINAL KECIL AJA KAGA DI BALIKIN,1
"apk tidak bisa di buka, muncul peringatan perangakat tidak di dukung, perangkat anda terdeteksi tidak didukung (root, emulator, atau mode pengembang) mau bayar tagihan aja di persulit. t41",1
"setelah update apk, skrang malah tidak bisa masuk / login",1
apk aneh tiba-tiba gabisa dibuka karna ada notif hp root/modifikasi. padahal ini hp normal tiap hari dipake,1
"aneh gabisa akses, padahal hp saya ga diroot juga",1
udah lama pake lama ga aku buka ada 3 bulan eh pas mau buka ga bisa,1
pelayanan live chat nya gak berguna,1
aplikasi sih ok..tapi penarikan saldo ke rekening lama sekali sudah 10 hari tidak ada hasil... mengecewakannnn,1
pln bonto tangnga kec tamalatea kab jeneponto selalu mematikan jalur listrik desa bangkalaloe hampir tiap hari jam 2.30 siang sampai jam 5 sore,1
"ini kenapa aplikasi tiba-tiba gak bisa dibuka muncul notif. ""perangkat tidak didukung"" padahal versi android 10. tolong perbaiki lagi agar bisa di buka di versi android 10 terimakasih",1
"percuma ada aplikasi catat meter, tagihan nya beda jauh sama yg tercantum di catat meter, g guna aplikasinya",1
"Aplikasinya udah bener dan sangat membantu sebelumnya, sekarang malah gak fungsi. Ckck",1
aplikasi gak guna,1
pln tambah suwe tambh GK nduwe sopan santun. sembarang GK izin yang punya rumah asal ganti asal copot👎,1
"mau masuk/daftar ke apk harus veifikasi menggunakan kode tapi tidak dikirim kirim sudah berbagai mode dari sms dan whatsapp namun belum ada kode masuk ditungguin...berarti tidak ada karyawan yang jaga atau stanbay di aplikasinya masih manual kecuali kalau langsung dapet ini apk berarti automatis, seperti apk yang sudah ternama",1
ampas,1
setelah install trus dibuka...perangkat tidak didukung....yg katanya root atau apa padahal gak pernah ngumek apalagi root,1
"saya beli token, VA berhasil uang sudah keluar tapi transaksi gagal, sudah coba pengaduan diaplikasi & kePLN juga tapi sampe skrang tidak ada kejelasan..jelek",1
"selama ini tidak ada masalah, kok sekarang tidak bisa dibuka, ada tulisan, perangkat tidak didukung. perangkat anda terdeteksi dalam kondisi tidak didukung...... tolong diatasin, mau bayar listrik soalnya.",1
"Lewat bayar denda,tp mati sesuka hati",1
tolong lah kalau pemeliharaan listrik padam itu jangan berjam jam di waktu semua orang beristirahat. sangat menganggu sekali harusnya orang itu bisa istirahat tenang nyenyak ini malah jadi ga bisa tidur anak2 kecil juga rewel ga kasian kalian sama yang punya bayi dan anak kecil karena rewel belum lagi pagi2 ada yang harus berangkat kerja,1
aplikasih tidak bisa di buka,1
aplikasi eror mulu..jaringan tidak stabil...pdahal buka vidio youtube resolusi 1080p lancar jaya...aneh,1
saya kasih BINTANG 1. menyangkut ICONNET yang jaringan dan pelayanan pengaduannya JELEK/BURUK. gak salah itu yang ngasih rating,1
aplikasi tidak bisa berjalan karena perangkat tidak terdeteksi atau tidak di dukung mohon solusinya,1
aplikasinya sangat bagus tapi petugas di lapangan merupakan satu kesatuan pelayanan PLN. Pasang Baru saya proses permohonan sampai transaksinya cepat tapi realisasi pemasangannya sudah 3 minggu belum juga ada. Pada status AP2T ketidaksiapan disisi pelanggan. Padahal Instalasi milik pelanggan sudah siap dan SLO sudah ada. Harusnya pada status AP2T 'KETIDAKSIAPAN DI SISI PLN' karena setelah dikonfirmasi petugas PLN setempat mengatakan KWH prabayar belum ada. laporan live chat sudah 3 kali tapi nol,1
"beberapa kali menghubungi cs dg kendala tdk bisa login dri 10 mei 2025 sampai 4 juli 2025 tdk menyelesaikan masalah, akun tetap tdk bisa login",1
"perangkat saya masih original,tidal pernah melakukan root,tapi dicekal oleh aplikasi",1
ngk bisa d buka alias sllu error,1
Kenapa pengaduan saya lama sekali diproses sedangkan meteran saya masih ada kendala,1
"""perangkat tidak d dukung....."" developer mode aja d blokir ndak bisa buat buka, aplikasi perbankan bca yang tingkat keamanannya berlapis aja masih bisa dipake, lha ini pln mobile? ada"" aja..",1
"sdh lama selama hampir 1.5 ato hampir 2 thn pake baik' aja ,,mmcb utk bersabar selqma hampir 4 bln sampe skrg apk nya malah ga jelas ga bs masuk akun sndr,,sdh ganti perangkat yg baru pun ttp ga bisq ini maunya gimana ,,kalo mmg msh maintenance kn0 sgr sgt lama sampe 5 bulanan ga bs dipake ga bs liat pemakaian dan ga bisa cek mandiri",1
dibilang hp saya di root hah? mode pengembangan aja gak aktif,1
aplikasi begok,1
"aplikasi gak ada guna, laporan saya lama sekali di gubris",1
sekarang susah digunakan kenapa,1
"aplikasi tidak bisa di buka... padahal sudah lama pakai di satu hp..""perangkat terdeteksi root , opsi pengembang etc""",1
"aplikasi sampah, di aplikasi gk ada tagihan listrik. pas cek di tempat lain udah ada tagihannya, untung aku crosscheck ke aplikasi lain.",1
aplikasi tmbah lama tmbah gk jelas.. mau komplain skrng susah.. mati lampu si bnyakin kualitas diturunin.. Jossss,1
aplikasi error,1
"Laporan Pengaduan sering dibatalkan sepihak oleh petugas, padahal petugas sibuk sendiri (UPT Serpong)",1
jadi makin ribet. harus isi banyak data. pelayanan makin buruk,1
proses PB PD dah mirip kaya pinjol ribet amat dah,1
"Pembangunan jalur travo dr yg asal-asalan tanpa izin dan tanpa pemberitahuan dan tanpa melihat jika dibawahnya SDH ad fondasi utk bangun rumah, lokasi dipuntang, lahat Sumatera Selatan, mohon utk dipindahkan karena sangat berbahaya dan kabel ny sangat rendah dr tanah",1
apk nya tidak bisa dibuka,1
"knp nggk bs di buka, perangkat tdk di dukung",1
"tiba aplikasi tidak bisa dibuka, error perangkat tidak didukung, dibilang perangkat saya diroot atau dimodifikasi, di modif dari mana, temperglass retak aja gak saya ganti",1
"saya sudah pakai 2 tahun lebih, membantu sekali, lah ini knapa mendadak ga bs masuk. kalau alasannya keamanan dll, kenapa tidak memilih opsi yg tidak merugikan pelanggan? ada banyak opsi yg lebih baik dari opsi yg anda terapkan sekarang dalam aplikasi ini",1
"gimana ini sudah uninstal, instal clear chace , ga bisa masuk katanya ""prangkat anda dalam kondisi tidak didukung (root, emulator , atau mode pengembang) gunakan perangkat asli atau non modifikasi """,1
"Kak Admint kok sekarang buka PLN Mobile keluar pemberitahuan kalau perangkat tidak mendukung, sudah tak install ulang masih sama, kenapa ya Kak?",1
mulai bulan kemarin tidak bisa masuk aplikasi. keterangan perangkat anda terdeteksi dalam kondisi tidak didukung.,1
"percuma banyak poin,, 2 bln tidak bisa di tukar vocer yang lebih bermanfaat😌",1
gagal mulu saat pengisian mobil,1
Refund dana dr PLN lamaaa bangeettt smpe 7 hari kerja estimasinya.. tolong di perbaiki,1
"aplikasi aneh, hp ga di apa apain malah muncul peringatan dan aplikasi ga bisa di pake... uninstall aja lah...",1
apk kok pembohong katanya ada reward hadiah langsung tapi pas di tukarkan sama poinya hadiah ga tersedia gimana sih kalo emang ga bisa kasih hadiah mah jangan PHP 🫣🫣,1
"jangan di download ,aku udah coba daftar tak bisa banyak antrian katanya ,gak bermutu",1
"Gak tau ngomong apa lgi, rumit banget nih aplikasi. mau login gak bisa",1
LAPORAN PELANGGAN SELALU DIBATALKAN!! HARI INI SUDAH 5 KALI LAPORAN PELANGGAN DIBATALKAN!!!,1
"aplikasinya tidak bisa dibuka dan muncul tulisan perangkat tidak didukung, saya sudah coba dibeberapa perangkat lainnya, hasilnya tetap sama, tidak bisa.",1
kenapa punya saya ga bisa dibuka aplikasinya,1
Mau Pasang Jaringan baru gagal mulu,1
"pln mobile sangat bagus dan transparan, tetapi sayang sekali untuk realisasinya sangat tidak sesuai dengan yang diharapkan. order pasang baru sejak 8 mei sampai 2 juli belum juga terealisasi.. mohon pln.id segera di perbaiki untuk sistem dan management nya",1
